Source;Target;Year
MEDEIROS Tiago Vidal;AARÃO REIS Daniel ;2020
SILVA Natanael de Freitas;AARÃO REIS Daniel ;2017
SILVA Natanael de Freitas;AARÃO REIS Daniel ;2022
ASSIS Eduardo Moreira;ABELOVE Henry;2011
BRANDÃO Renata Rodrigues ;ABELOVE Henry;2015
JESUS Cassiano Celestino;ABELOVE Henry;2020
KUMPERA Julia Aleksandra Martucci;ABELOVE Henry;2021
ROCHA Cassio Bruno de Araujo;ABELOVE Henry;2021
SANTOS Daniel Barbosa dos;ABELOVE Henry;2009
SOUZA Mariana Barbosa;ABELOVE Henry;2022
VIANNA Eliza da Silva;ABOIM Sofia ;2014
VIEIRA Kyara Maria de Almeida;ABOIM Sofia ;2014
CORREA Ester Candida;ABRAMOVAY Miriam ;2018
SILVA Tiago Vidal da;ABRAMOVAY Miriam ;2022
AGUIAR Juno Nedel Mendes de;ABREU Alzira Alves de;2020
BORTOLON Flavia ;ABREU Alzira Alves de;2020
LIRA Jefferson Maciel;ABREU Alzira Alves de;2022
REIS Gabbiana Clamer Fonseca Falavigna dos;ABREU Alzira Alves de;2022
CARDOSO Guilherme da Silva;ABREU Caio Fernando;2022
DALLASTA Rodrigo Bonatto;ABREU Caio Fernando;2021
GOMES Elisa Mariana de Medeiros Nobrega;ABREU Caio Fernando;2007
NASCIMENTO Cicera Maria castro do;ABREU Caio Fernando;2021
NASCIMENTO Dilene Raimundo;ABREU Caio Fernando;1999
RODRIGUES Rita de Cassia Colaco;ABREU Caio Fernando;2012
SILVA Walber Ferreira da;ABREU Caio Fernando;2021
SOUSA NETO Miguel Rodrigues de;ABREU Caio Fernando;2005
SOUZA Italo Cristiano Silva e;ABREU Caio Fernando;2014
VASCONCELOS Osvaldo;ABREU Caio Fernando;2022
VIANNA Eliza da Silva;ABREU Caio Fernando;2014
JESUS Iara da Silva;ABREU João Capistrano de;2019
GOMES Veronica de Jesus;ABREU João Capistrano de;2010
GOMES Veronica de Jesus;ABREU João Capistrano de;2019
LIMA Wallas Jefferson de;ABREU João Capistrano de;2021
SILVA Ronaldo Manoel da;ABREU João Capistrano de;2018
VIANA JR Mario Martins;ABREU João Capistrano de;2013
DIAS Claudio Jose Piotrovski;ABREU João Francisco;2012
QUEIROZ Marcos Tadeu Pereira de;ABREU João Francisco;2019
ANDRADE Marciano Vieira;ABREU Manoel;2015
NASCIMENTO Dilene Raimundo;ABREU Manoel;1999
MAIOR JR Paulo Roberto Souto;ABREU Márcia;2019
NASCIMENTO Anne Raquel da Silva;ABREU Márcia;2022
NOBREGA Isabela Silva;ABREU Márcia;2015
SILVA Tiago Vidal da;ABREU Márcia;2022
FERREIRA Tiago da Silva;ABREU Martha;2013
NASCIMENTO Álvaro Pereira;ABREU Martha;2002
REIS Gabbiana Clamer Fonseca Falavigna dos;ABREU Martha;2022
SOARES Bruno Cesar Brulon;ABREU Martha;2019
BRITO Alexandre Magno Maciel Costa e;ABREU Martha ;2016
GALLINA Justina Franchi;ABREU Martha ;2008
GONCALVES Jose Claudio Leoncio;ABREU Martha ;2018
NOBREGA Isabela Silva;ABREU Martha ;2015
SOARES Bruno Cesar Brulon;ABREU Martha ;2019
VIANA JR Mario Martins;ABREU Martha ;2013
GOMES JR João;ABREU Maurício de Almeida;2019
NASCIMENTO Álvaro Pereira;ABREU Maurício de Almeida;2002
CORREA William Bruno;ABREU Nuno César Pereira de;2020
COSTA Gerferson Damasceno;ABREU Nuno César Pereira de;2018
NOBREGA Isabela Silva;ABREU Nuno César Pereira de;2015
REIS Gabbiana Clamer Fonseca Falavigna dos;ABREU Nuno César Pereira de;2022
SILVA Fabio Ronaldo da;ABREU Nuno César Pereira de;2010
SILVA Fabio Ronaldo da;ABREU Nuno César Pereira de;2017
VIEIRA Kyara Maria de Almeida;ABREU Nuno César Pereira de;2014
AMARILLO Claudia Patricia Rivera;ABUD Katia Maria ;2012
LIRA Jefferson Maciel;ABUD Katia Maria ;2022
MEDEIROS Talita Goncalves;ABUD Katia Maria ;2015
QUEIROZ Marcos Tadeu Pereira de;ABUD Katia Maria ;2019
CUEVAS Clara Eliana;ACHA Omar ;2015
PINTO Rhanielly Pereira do Nascimento;ACHA Omar ;2021
MARTINELLI Leonardo da Silva;ACHARD Pierre;2019
SELEM Maria Celia Orlato;ACHARD Pierre;2007
AFONSO Ana Paula Jardim Martins;ADELMAN Miriam;2016
MARIUSSO Victor Hugo da Silva Gomes;ADELMAN Miriam;2015
REIS Gabbiana Clamer Fonseca Falavigna dos;ADELMAN Miriam;2022
SANTOS Fernanda Cassia dos;ADELMAN Miriam;2012
SELEM Maria Celia Orlato;ADELMAN Miriam;2007
TOLEDO Eliza Teixeira de;ADELMAN Miriam;2015
AFONSO Pablo Andrade;ADICHIE Chimamanda Ngozi ;2022
NASCIMENTO Anne Raquel da Silva;ADICHIE Chimamanda Ngozi ;2022
SILVA Walber Ferreira da;ADICHIE Chimamanda Ngozi ;2021
DAVI Edmar Henrique D ;ADORNO Sérgio ;2004
KOREN Jonas Christmann;ADORNO Sérgio ;2019
BARATA Germana Fernandes;ADORNO Theodor;2006
CARDOSO Guilherme da Silva;ADORNO Theodor;2022
MARTINS Carla Cristina Siqueira;ADORNO Theodor;2020
MOTA Frederico Alves;ADORNO Theodor;2013
NOGUEIRA Joanna Ribeiro;ADORNO Theodor;2016
PETERS Carlos Eduardo Marotta;ADORNO Theodor;2010
SOUSA NETO Miguel Rodrigues de;ADORNO Theodor;2005
CASTRO Alana Albuquerque de;ADRIÃO Karla Galvão ;2022
SANTOS Paulo Henrique Souza dos;ADRIÃO Karla Galvão ;2022
SANTOS Daniel Barbosa dos;AESCHINES;2003
SANTOS Daniel Barbosa dos;AESCHINES;2009
AGUIAR Juno Nedel Mendes de;AGAMBEN Giorgio;2020
AMORIM Graziele Regina de;AGAMBEN Giorgio;2015
AZEVEDO Gleice LInhares de;AGAMBEN Giorgio;2022
CARDOSO Guilherme da Silva;AGAMBEN Giorgio;2022
CARNEIRO Aílton José dos Santos;AGAMBEN Giorgio;2017
GOMES JR João;AGAMBEN Giorgio;2019
MACHADO José Wellington de Oliveira Machado;AGAMBEN Giorgio;2021
MAIA Renata Santos;AGAMBEN Giorgio;2020
MAIOR JR Paulo Roberto Souto;AGAMBEN Giorgio;2019
MAIOR JR Paulo Roberto Souto;AGAMBEN Giorgio;2015
MALINSKI Andre Americano;AGAMBEN Giorgio;2019
MARTINS Carla Cristina Siqueira;AGAMBEN Giorgio;2020
MELO Kelyel Fortes de Resende;AGAMBEN Giorgio;2020
NUNES Kauan Amora;AGAMBEN Giorgio;2019
OLIVEIRA JR Alcidesio de;AGAMBEN Giorgio;2012
RAMOS Jeferson;AGAMBEN Giorgio;2019
RIBAS Jorge Luiz Teixeira;AGAMBEN Giorgio;2018
SILVA Aline Nawara Cintra;AGAMBEN Giorgio;2022
SILVA Camila Diane;AGAMBEN Giorgio;2015
SILVA Fabio Ronaldo da;AGAMBEN Giorgio;2017
SILVA Gustavo Henrique Ramos;AGAMBEN Giorgio;2018
SOARES Anderson da Silva;AGAMBEN Giorgio;2016
TAVOLARO José Eduardo Matos;AGAMBEN Giorgio;2020
TROVAO Flavio Vilas-Boas;AGAMBEN Giorgio;2010
DIAS Claudio Jose Piotrovski;AGGLETON Peter ;2012
MEDEIROS Tiago Vidal;AGGLETON Peter ;2020
SILVA Sandro Coutinho da;AGGLETON Peter ;2022
AZEVEDO Ciro Linhares de;AGRA DO Ó Alarcon ;2015
MAIOR JR Paulo Roberto Souto;AGRA DO Ó Alarcon ;2015
MEDEIROS Lucas;AGRA DO Ó Alarcon ;2022
SILVA Fabio Ronaldo da;AGRA DO Ó Alarcon ;2017
HENRIQUES Adolfo Veiller Souza;AGRA Giscard Farias ;2021
SOUZA Italo Cristiano Silva e;AGRA Giscard Farias ;2014
GOMES Veronica de Jesus;AGUIAR Asdrúbal António de;2010
GOMES Veronica de Jesus;AGUIAR Asdrúbal António de;2019
CARVALHO Marilia Miranda Alves;AGUIAR Flávio ;2020
GIMENEZ Mariana Quadros;AGUIAR Flávio ;2015
MAIOR JR Paulo Roberto Souto;AGUIAR Flávio ;2019
PEREIRA Joao Lenon Siqueira;AGUIAR Flávio ;2020
TEDESCO Caio de Souza;AGUIAR Juno Nedel Mendes de;2022
AGUIAR Juno Nedel Mendes de;AHMED Sara ;2020
FRANCA Nayla Flavianne Borges Carvalho;AHMED Sara ;2022
AGUIAR Juno Nedel Mendes de;AKOTIRENE Carla;2020
BARBOSA Camila Nadedja Teixeira;AKOTIRENE Carla;2019
BARRETO Juliano Bezerra de Menezes;AKOTIRENE Carla;2020
DONINI Barbara Brognoli;AKOTIRENE Carla;2021
NASCIMENTO Anne Raquel da Silva;AKOTIRENE Carla;2022
NASCIMENTO Renan de Souza;AKOTIRENE Carla;2022
PAIVA Ludmila Soares;AKOTIRENE Carla;2022
PEREIRA Joao Lenon Siqueira;AKOTIRENE Carla;2020
RAMOS Jeferson;AKOTIRENE Carla;2019
ROCHA Cassio Bruno de Araujo;AKOTIRENE Carla;2021
SANTOS Raian Souza;AKOTIRENE Carla;2020
SILVA Natanael de Freitas;AKOTIRENE Carla;2022
VIEIRA Adriana Fraga;AKOTIRENE Carla;2020
AFONSO Pablo Andrade;ALBERTI Verena;2022
AMORIM Graziele Regina de;ALBERTI Verena;2009
ARRUDA Guilherme Lima de Arruda;ALBERTI Verena;2020
BORTOLON Flavia ;ALBERTI Verena;2020
BRANDAO Fagner Alves Moreira;ALBERTI Verena;2021
BRITO Paulo Henrique de;ALBERTI Verena;2020
CARDOSO Guilherme da Silva;ALBERTI Verena;2022
CARNEIRO Aílton José dos Santos;ALBERTI Verena;2017
CARVALHO Mozart Matheus de Andrade;ALBERTI Verena;2022
FERREIRA Matheus Yago Gomes;ALBERTI Verena;2019
FREITAS Randas Gabriel Aguiar;ALBERTI Verena;2022
LIMA Michele Pires;ALBERTI Verena;2021
MEDEIROS Lucas;ALBERTI Verena;2022
OLIVEIRA Augusta da Silveira de;ALBERTI Verena;2018
PINTO Matheus Rodrigues;ALBERTI Verena;2015
RODRIGUES Rita de Cassia Colaco;ALBERTI Verena;2012
ROSSELLI Gabriela Brum;ALBERTI Verena;2018
SANTOS Paulo Henrique Souza dos;ALBERTI Verena;2022
SANTOS Rafael Franca Goncalves dos;ALBERTI Verena;2018
SELEM Maria Celia Orlato;ALBERTI Verena;2007
SILVA Jefferson Luiz Balbino Lourenço da;ALBERTI Verena;2019
SILVA Josean Ricardo de Souza e;ALBERTI Verena;2018
SILVA Rafaella de Sousa;ALBERTI Verena;2014
SILVEIRA NETO Adilio Luiz da;ALBERTI Verena;2014
SOUSA Luana Neres de;ALBERTI Verena;2013
VERAS Elias Ferreira;ALBERTI Verena;2015
VIEIRA Kyara Maria de Almeida;ALBERTI Verena;2014
FERREIRA Matheus Yago Gomes;ALBIERI Sara ;2019
SANTOS Leonardo Stabele;ALBIERI Sara ;2022
PEREIRA Cristiane dos Santos;ALBIN Ricardo Cravo ;2010
ROSSELLI Gabriela Brum;ALBIN Ricardo Cravo ;2018
AMORIM Graziele Regina de;ALBUQUERQUE JR Durval Muniz de;2015
ARAÚJO João Diogo Trindade Cordeiro ;ALBUQUERQUE JR Durval Muniz de;2018
ARAUJO Patrícia Simone;ALBUQUERQUE JR Durval Muniz de;2020
ARRUDA Guilherme Lima de Arruda;ALBUQUERQUE JR Durval Muniz de;2020
AZEVEDO Ciro Linhares de;ALBUQUERQUE JR Durval Muniz de;2015
AZEVEDO Gleice LInhares de;ALBUQUERQUE JR Durval Muniz de;2022
BARBOSA Camila Nadedja Teixeira;ALBUQUERQUE JR Durval Muniz de;2019
BARRETO Juliano Bezerra de Menezes;ALBUQUERQUE JR Durval Muniz de;2020
BISPO Daniana de Oliveira;ALBUQUERQUE JR Durval Muniz de;2017
DAVI Edmar Henrique D ;ALBUQUERQUE JR Durval Muniz de;2004
DUARTE Daniel Vital Silva;ALBUQUERQUE JR Durval Muniz de;2015
FLAUAUS Vinicius Melo;ALBUQUERQUE JR Durval Muniz de;2018
GOMES JR João;ALBUQUERQUE JR Durval Muniz de;2019
GONCALVES Alisson;ALBUQUERQUE JR Durval Muniz de;2022
HENRIQUES Adolfo Veiller Souza;ALBUQUERQUE JR Durval Muniz de;2021
JESUS Cassiano Celestino;ALBUQUERQUE JR Durval Muniz de;2020
LINS Rivelynno da Costa;ALBUQUERQUE JR Durval Muniz de;2017
MACAO Izabel Rizzi;ALBUQUERQUE JR Durval Muniz de;2022
MACHADO José Wellington de Oliveira Machado;ALBUQUERQUE JR Durval Muniz de;2021
MAIOR JR Paulo Roberto Souto;ALBUQUERQUE JR Durval Muniz de;2015
MAIOR JR Paulo Roberto Souto;ALBUQUERQUE JR Durval Muniz de;2019
MARTINELLI Leonardo da Silva;ALBUQUERQUE JR Durval Muniz de;2019
MEDEIROS Lucas;ALBUQUERQUE JR Durval Muniz de;2022
MEDEIROS Tiago Vidal;ALBUQUERQUE JR Durval Muniz de;2020
MELO Kelyel Fortes de Resende;ALBUQUERQUE JR Durval Muniz de;2020
NICOLAU Marcio Almeida;ALBUQUERQUE JR Durval Muniz de;2019
OLIVEIRA Rosana Medeiros de;ALBUQUERQUE JR Durval Muniz de;2011
PAIVA Ludmila Soares;ALBUQUERQUE JR Durval Muniz de;2022
PEREIRA Joao Lenon Siqueira;ALBUQUERQUE JR Durval Muniz de;2020
PEREIRA Romulo Medeiros;ALBUQUERQUE JR Durval Muniz de;2013
PEREIRA Veronica Figueiredo;ALBUQUERQUE JR Durval Muniz de;2022
QUEIROZ Igor Henrique Lopes de;ALBUQUERQUE JR Durval Muniz de;2014
RAMOS Jeferson;ALBUQUERQUE JR Durval Muniz de;2019
RIBAS Jorge Luiz Teixeira;ALBUQUERQUE JR Durval Muniz de;2018
RIBEIRO JR Benedito Inacio;ALBUQUERQUE JR Durval Muniz de;2016
ROCHA Cassio Bruno de Araujo;ALBUQUERQUE JR Durval Muniz de;2014
ROCHA Cassio Bruno de Araujo;ALBUQUERQUE JR Durval Muniz de;2021
SALDANHA Rafael Araujo;ALBUQUERQUE JR Durval Muniz de;2010
SAMPAIO Filipe de Jesus;ALBUQUERQUE JR Durval Muniz de;2020
SANTOS Fernanda Cassia dos;ALBUQUERQUE JR Durval Muniz de;2012
SANTOS Helio Secretario dos;ALBUQUERQUE JR Durval Muniz de;2013
SANTOS Rafael Franca Goncalves dos;ALBUQUERQUE JR Durval Muniz de;2018
SILVA Adjefferson Vieira Alves da;ALBUQUERQUE JR Durval Muniz de;2014
SILVA Aline Nawara Cintra;ALBUQUERQUE JR Durval Muniz de;2022
SILVA Fabio Ronaldo da;ALBUQUERQUE JR Durval Muniz de;2017
SILVA Gustavo Henrique Ramos;ALBUQUERQUE JR Durval Muniz de;2018
SILVA Laercio Theodoro da;ALBUQUERQUE JR Durval Muniz de;2012
SILVA Natanael de Freitas;ALBUQUERQUE JR Durval Muniz de;2017
SILVA Natanael de Freitas;ALBUQUERQUE JR Durval Muniz de;2022
SILVA Rafaella de Sousa;ALBUQUERQUE JR Durval Muniz de;2014
SILVA Ronaldo Manoel da;ALBUQUERQUE JR Durval Muniz de;2018
SILVA Sandro Jose da;ALBUQUERQUE JR Durval Muniz de;2011
SILVA Walber Ferreira da;ALBUQUERQUE JR Durval Muniz de;2021
SILVEIRA NETO Adilio Luiz da;ALBUQUERQUE JR Durval Muniz de;2014
SOUZA Italo Cristiano Silva e;ALBUQUERQUE JR Durval Muniz de;2014
SOUZA Mariana Barbosa;ALBUQUERQUE JR Durval Muniz de;2022
SOUZA Paulo Vitor Guedes de;ALBUQUERQUE JR Durval Muniz de;2022
TEDESCO Caio de Souza;ALBUQUERQUE JR Durval Muniz de;2022
TOLEDO Eliza Teixeira de;ALBUQUERQUE JR Durval Muniz de;2015
VERAS Elias Ferreira;ALBUQUERQUE JR Durval Muniz de;2015
VIANA JR Mario Martins;ALBUQUERQUE JR Durval Muniz de;2013
VIANNA Eliza da Silva;ALBUQUERQUE JR Durval Muniz de;2014
VIEIRA Kyara Maria de Almeida;ALBUQUERQUE JR Durval Muniz de;2013
CARNEIRO Aílton José dos Santos;ALBUQUERQUE Wlamyra Ribeiro;2017
DUARTE Daniel Vital Silva;ALBUQUERQUE Wlamyra Ribeiro;2015
DUARTE Daniel Vital Silva;ALDRICH Robert ;2015
SILVA Filipe Noe da;ALDRICH Robert ;2016
KOREN Jonas Christmann;ALENCAR Gedeon;2019
MARANHAO Du Flor Meinberg;ALENCAR Gedeon;2015
DUARTE Daniel Vital Silva;ALENCAR José de;2015
VIANA JR Mario Martins;ALENCAR José de;2013
BISPO Daniana de Oliveira;ALENCASTRO Luiz Felipe;2017
DUARTE Daniel Vital Silva;ALENCASTRO Luiz Felipe;2015
PERALTA Antonio Carlos Lopes;ALENCASTRO Luiz Felipe;2000
SOUSA NETO Miguel Rodrigues de;ALENCASTRO Luiz Felipe;2011
CARDOSO Policleiton Rodrigues;ALENCASTRO Luiz Felipe ;2022
DUARTE Daniel Vital Silva;ALENCASTRO Luiz Felipe ;2015
MEDEIROS Lucas;ALGRANTI Leila Mezam;2022
VASCONCELOS Osvaldo;ALGRANTI Leila Mezam;2022
NAPOLITANO Minisa Nogueira;ALGRANTI Leila Mezan;2005
ROCHA Cassio Bruno de Araujo;ALGRANTI Leila Mezan;2021
SILVA Filipe Noe da;ALGRANTI Leila Mezan;2016
LIMA Wallas Jefferson de;ALGRANTI Leila Mezan ;2021
ROCHA Cassio Bruno de Araujo;ALGRANTI Leila Mezan ;2021
GAMA Elizabeth Castelano;ALMADA Sandra;2012
PEREIRA Cristiane dos Santos;ALMADA Sandra;2010
FREITAS Randas Gabriel Aguiar;ALMEIDA Amylton de;2022
SOUSA NETO Miguel Rodrigues de;ALMEIDA Amylton de;2005
SOUSA NETO Miguel Rodrigues de;ALMEIDA Amylton de;2011
GOMES Veronica de Jesus;ALMEIDA Angela Mendes de;2019
RAMOS Jeferson;ALMEIDA Angela Mendes de;2019
ROCHA Cassio Bruno de Araujo;ALMEIDA Angela Mendes de;2014
ROCHA Cassio Bruno de Araujo;ALMEIDA Angela Mendes de;2021
VASCONCELOS Osvaldo;ALMEIDA Angela Mendes de;2022
LIMA Wallas Jefferson de;ALMEIDA Carla Maria Carvalho;2021
LIMA Wallas Jefferson de;ALMEIDA Carla Maria Carvalho;2014
ARAÚJO João Diogo Trindade Cordeiro ;ALMEIDA Fábio Chang de ;2018
ARRUDA Guilherme Lima de Arruda;ALMEIDA Fábio Chang de ;2020
MARTINS Carla Cristina Siqueira;ALMEIDA Fábio Chang de ;2020
SILVA Adjefferson Vieira Alves da;ALMEIDA Fábio Chang de ;2014
GOMES Veronica de Jesus;ALMEIDA Fortunato de;2010
GOMES Veronica de Jesus;ALMEIDA Fortunato de;2019
BRITO Alexandre Magno Maciel Costa e;ALMEIDA Glaucia Elaine Silva ;2016
KUMPERA Julia Aleksandra Martucci;ALMEIDA Glaucia Elaine Silva ;2021
MAIOR JR Paulo Roberto Souto;ALMEIDA Glaucia Elaine Silva ;2019
SANTOS Patricia Lessa dos;ALMEIDA Glaucia Elaine Silva ;2007
SOUSA NETO Miguel Rodrigues de;ALMEIDA Glaucia Elaine Silva ;2011
MARANHAO Du Flor Meinberg;ALMEIDA Guilherme;2015
MARTINS Carla Cristina Siqueira;ALMEIDA Guilherme;2020
AZEVEDO Rafaela Costa de;ALMEIDA Guilherme ;2020
LEAL Camilla;ALMEIDA Guilherme ;2018
BRANDÃO Renata Rodrigues ;ALMEIDA Heloisa Buarque de;2015
CORREA Ester Candida;ALMEIDA Heloisa Buarque de;2018
GODOY Fabricio Sparvoli;ALMEIDA Heloisa Buarque de;2022
GOMES JR João;ALMEIDA Heloisa Buarque de;2019
MARTINELLI Leonardo da Silva;ALMEIDA Heloisa Buarque de;2019
PAIVA Ludmila Soares;ALMEIDA Heloisa Buarque de;2022
SANTOS Fernanda Cassia dos;ALMEIDA Heloisa Buarque de;2012
VASCONCELOS Osvaldo;ALMEIDA Heloisa Buarque de;2022
BELMONTE Pilar Rodriguez;ALMEIDA José Ricardo Pires de;2009
CARNEIRO Aílton José dos Santos;ALMEIDA José Ricardo Pires de;2017
GOMES Aline Ferreira;ALMEIDA José Ricardo Pires de;2017
AFONSO Pablo Andrade;ALMEIDA Juniele Rebêlo de;2022
FERRAZ Maria Cruz;ALMEIDA Juniele Rebêlo de;2021
FERREIRA Matheus Yago Gomes;ALMEIDA Juniele Rebêlo de;2019
KUMPERA Julia Aleksandra Martucci;ALMEIDA Juniele Rebêlo de;2021
SANTOS Leonardo Stabele;ALMEIDA Juniele Rebêlo de;2022
ANDRADE Marciano Vieira;ALMEIDA Maria Hermínia Tavares de;2015
FERREIRA Tiago da Silva;ALMEIDA Maria Hermínia Tavares de;2013
SILVA Jaine Chianca da;ALMEIDA Maria Hermínia Tavares de;2021
SILVA Natanael de Freitas;ALMEIDA Maria Isabel Gomes de;2017
SILVA Natanael de Freitas;ALMEIDA Maria Isabel Gomes de;2022
GOMES Veronica de Jesus;ALMEIDA Maria Regina Celestino de ;2019
MEDEIROS Lucas;ALMEIDA Maria Regina Celestino de ;2022
ROCHA Cassio Bruno de Araujo;ALMEIDA Maria Regina Celestino de ;2021
BARROS Bruna Aparecida;ALMEIDA Maria Rita;2017
DIAS Claudio Jose Piotrovski;ALMEIDA Maria Rita;2012
LORENZONI Andre Luis;ALMEIDA Maria Rita;2014
GODOY Fabricio Sparvoli;ALMEIDA Miguel Vale de ;2022
GOMES Mauricio Pereira;ALMEIDA Miguel Vale de ;2014
LOPES Fernando Jose;ALMEIDA Miguel Vale de ;2019
MARIUSSO Victor Hugo da Silva Gomes;ALMEIDA Miguel Vale de ;2015
ROCHA Cassio Bruno de Araujo;ALMEIDA Miguel Vale de ;2014
ROCHA Cassio Bruno de Araujo;ALMEIDA Miguel Vale de ;2021
SALDANHA Rafael Araujo;ALMEIDA Miguel Vale de ;2010
SANTOS Fernanda Cassia dos;ALMEIDA Miguel Vale de ;2012
SILVA Natanael de Freitas;ALMEIDA Miguel Vale de ;2017
SILVA Natanael de Freitas;ALMEIDA Miguel Vale de ;2022
VIANA JR Mario Martins;ALMEIDA Miguel Vale de ;2013
JESUS Cassiano Celestino;ALMEIDA Néri;2020
SILVA Filipe Noe da;ALMEIDA Néri;2016
FREITAS JR Renilson Pereira de;ALMEIDA Ronaldo de ;2022
PERALTA Antonio Carlos Lopes;ALMEIDA Ronaldo de ;2000
SOLEDADE Alisson Cruz;ALMEIDA Ronaldo de ;2022
AGUIAR Juno Nedel Mendes de;ALMEIDA Silvio Luiz de;2020
GOMES JR João;ALMEIDA Silvio Luiz de;2019
MARTINS Carla Cristina Siqueira;ALMEIDA Silvio Luiz de;2020
PAZ Thaís Terezinha;ALMEIDA Silvio Luiz de;2021
AFONSO Ana Paula Jardim Martins;ALMODÓVAR Pedro;2016
SILVA Natanael de Freitas;ALMODÓVAR Pedro;2022
DUARTE Daniel Vital Silva;ALONSO Angela ;2015
GONÇALVES Maria Angela Gomes;ALONSO Angela ;2021
SILVA Naylla Oliveira da;ALONSO Angela ;2019
SILVEIRA Guilherme Pontes;ALONSO Angela ;2021
SOBRAL Thasio Fernandes;ALONSO Angela ;2019
NUNES Julia Ronai Porto;ALÓS Anselmo Peres ;2020
SILVA Natanael de Freitas;ALÓS Anselmo Peres ;2022
SOUSA NETO Miguel Rodrigues de;ALÓS Anselmo Peres ;2011
MARANHAO Du Flor Meinberg;ALTHAUS-REID Marcella;2015
SOLEDADE Alisson Cruz;ALTHAUS-REID Marcella;2022
DIAS Claudio Jose Piotrovski;ALTMAN Dennis;2012
MAIOR JR Paulo Roberto Souto;ALTMAN Dennis;2019
NASCIMENTO Dilene Raimundo;ALTMAN Dennis;1999
ROCHA Cassio Bruno de Araujo;ALTMAN Dennis;2014
ROCHA Cassio Bruno de Araujo;ALTMAN Dennis;2021
TROVAO Flavio Vilas-Boas;ALTMAN Dennis;2010
VITIELLO Gabriel Natal Botelho;ALTMAN Dennis;2009
ZAQUIEU Ana Paula Vianna;ALTMAN Dennis;2002
ASSUMPCAO Andreia dos S B M de;ALTMANN Helena ;2012
MACHADO JR Sergio da Silva;ALTMANN Helena ;2016
SILVA Tiago Vidal da;ALTMANN Helena ;2022
GOMES Veronica de Jesus;ÁLVAREZ Fernando Bouza ;2019
LIMA Wallas Jefferson de;ÁLVAREZ Fernando Bouza ;2021
GONÇALVES Maria Angela Gomes;ALVAREZ Marcos César;2021
LIMA Rodrigo Ramos;ALVAREZ Marcos César;2016
OLIVEIRA JR Alcidesio de;ALVAREZ Marcos César;2012
SILVA Filipe Noe da;ALVAREZ Marcos César;2016
SOUSA NETO Miguel Rodrigues de;ALVAREZ Marcos César;2011
BARBOSA Camila Nadedja Teixeira;ALVAREZ Sônia ;2019
KUMPERA Julia Aleksandra Martucci;ALVAREZ Sônia ;2021
BARBOSA Camila Nadedja Teixeira;ALVES Branca Moreira ;2019
CARDOZO Leidy Carolina Diaz;ALVES Branca Moreira ;2018
NOGUEIRA Nadia Cristina;ALVES Branca Moreira ;2005
SILVA Jaine Chianca da;ALVES Branca Moreira ;2021
SOUSA NETO Miguel Rodrigues de;ALVES Branca Moreira ;2011
GOMES Elisa Mariana de Medeiros Nobrega;ALVES Flavio ;2007
SILVA Sandro Jose da;ALVES Flavio ;2011
ROSSELLI Gabriela Brum;ALVES Hailey;2018
VIEIRA Adriana Fraga;ALVES Hailey;2020
CARDOZO Leidy Carolina Diaz;ALVES Hailey ;2018
NICOLAU Marcio Almeida;ALVES Hailey ;2019
PAIVA Ludmila Soares;ALVES Hailey ;2022
SOUZA Paulo Vitor Guedes de;ALVES Hailey ;2022
VASCONCELOS Osvaldo;ALVES Hailey ;2022
ASSUMPCAO Andreia dos S B M de;ALVES José Eustáquio Diniz ;2012
LEAL Camilla;ALVES José Eustáquio Diniz ;2018
MACAO Izabel Rizzi;ALVES José Eustáquio Diniz ;2022
CARNEIRO Aílton José dos Santos;ALVES Maria Helena Moreira ;2017
FERREIRA Tiago da Silva;ALVES Maria Helena Moreira ;2013
MAIOR JR Paulo Roberto Souto;ALVES Maria Helena Moreira ;2015
SANTOS Raian Souza;ALVES Maria Helena Moreira ;2020
SILVA Aline Nawara Cintra;ALVES Maria Helena Moreira ;2022
SOBRAL Thasio Fernandes;ALVES Maria Helena Moreira ;2019
BARBOSA Camila Nadedja Teixeira;ALVES Paula ;2019
REIS Gabbiana Clamer Fonseca Falavigna dos;ALVES Paula ;2022
MEDEIROS Lucas;ALVES Paulo César ;2022
SILVEIRA NETO Adilio Luiz da;ALVES Paulo César ;2014
BRANDAO Fagner Alves Moreira;ALVES Zedequias ;2021
SOLEDADE Alisson Cruz;ALVES Zedequias ;2022
AMARAL Darwin Santiago;ALVITO Marcos;2003
DAVI Edmar Henrique D ;ALVITO Marcos;2004
SANTOS Helio Secretario dos;ALVITO Marcos;2013
AFONSO Pablo Andrade;AMADO Janaína ;2022
AMARAL Darwin Santiago;AMADO Janaína ;2003
ARAUJO Patrícia Simone;AMADO Janaína ;2013
ARAUJO Patrícia Simone;AMADO Janaína ;2020
AZEVEDO Ciro Linhares de;AMADO Janaína ;2015
AZEVEDO Gleice LInhares de;AMADO Janaína ;2022
AZEVEDO Rafaela Costa de;AMADO Janaína ;2020
BARROS Bruna Aparecida;AMADO Janaína ;2017
BATISTA Ana Cecilia Pereira;AMADO Janaína ;2021
BRANDAO Fagner Alves Moreira;AMADO Janaína ;2021
BRITO Paulo Henrique de;AMADO Janaína ;2020
DALLASTA Rodrigo Bonatto;AMADO Janaína ;2021
FERREIRA Matheus Yago Gomes;AMADO Janaína ;2019
GAMA Elizabeth Castelano;AMADO Janaína ;2012
