Id,indegree,outdegree
MEDEIROS Tiago Vidal,0,0
AARÃO REIS Daniel,0,0
SILVA Natanael de Freitas,0,0
ASSIS Eduardo Moreira,1,54
ABELOVE Henry,2,0
BRANDÃO Renata Rodrigues,0,0
JESUS Cassiano Celestino,0,0
KUMPERA Julia Aleksandra Martucci,0,0
ROCHA Cassio Bruno de Araujo,0,138
SANTOS Daniel Barbosa dos,0,87
SOUZA Mariana Barbosa,0,0
VIANNA Eliza da Silva,0,63
ABOIM Sofia,2,0
VIEIRA Kyara Maria de Almeida,0,132
CORREA Ester Candida,0,0
ABRAMOVAY Miriam,0,0
SILVA Tiago Vidal da,0,0
AGUIAR Juno Nedel Mendes de,0,0
ABREU Alzira Alves de,0,0
BORTOLON Flavia,0,0
LIRA Jefferson Maciel,0,0
REIS Gabbiana Clamer Fonseca Falavigna dos,0,0
CARDOSO Guilherme da Silva,0,0
ABREU Caio Fernando,5,0
DALLASTA Rodrigo Bonatto,0,0
GOMES Elisa Mariana de Medeiros Nobrega,0,101
NASCIMENTO Cicera Maria castro do,0,0
NASCIMENTO Dilene Raimundo,6,0
RODRIGUES Rita de Cassia Colaco,2,187
SILVA Walber Ferreira da,0,0
SOUSA NETO Miguel Rodrigues de,0,237
SOUZA Italo Cristiano Silva e,0,62
VASCONCELOS Osvaldo,0,0
JESUS Iara da Silva,0,0
ABREU João Capistrano de,2,0
GOMES Veronica de Jesus,3,87
LIMA Wallas Jefferson de,0,112
SILVA Ronaldo Manoel da,0,0
VIANA JR Mario Martins,0,107
DIAS Claudio Jose Piotrovski,0,54
ABREU João Francisco,1,0
QUEIROZ Marcos Tadeu Pereira de,0,0
ANDRADE Marciano Vieira,0,0
ABREU Manoel,0,0
MAIOR JR Paulo Roberto Souto,0,0
ABREU Márcia,0,0
NASCIMENTO Anne Raquel da Silva,0,0
NOBREGA Isabela Silva,0,0
FERREIRA Tiago da Silva,0,57
ABREU Martha,3,0
NASCIMENTO Álvaro Pereira,1,0
SOARES Bruno Cesar Brulon,0,0
BRITO Alexandre Magno Maciel Costa e,0,0
GALLINA Justina Franchi,0,45
GONCALVES Jose Claudio Leoncio,0,0
